skill,param,class,value
Q_4_S_11,forgets,default,0.024413488232441743
Q_5_S_11,prior,default,0.6070861958339404
Q_5_S_11,learns,default,0.3298540359649427
Q_5_S_11,guesses,default,1.0
Q_5_S_11,slips,default,0.0
Q_5_S_11,forgets,default,0.22906211134322854
Q_6_S_11,prior,default,0.4133001290771746
Q_6_S_11,learns,default,0.04417759183269607
Q_6_S_11,guesses,default,1.0
Q_6_S_11,slips,default,0.0
Q_6_S_11,forgets,default,0.6180348802779791
Q_7_S_11,prior,default,0.0011638541289459953
Q_7_S_11,learns,default,0.5225567675188485
Q_7_S_11,guesses,default,0.04400609038037826
Q_7_S_11,slips,default,0.0786074801379845
Q_7_S_11,forgets,default,0.013458785309216141
Q_0_S_110,prior,default,0.18193466963239935
Q_0_S_110,learns,default,0.32442312774632787
Q_0_S_110,guesses,default,0.7000861675901004
Q_0_S_110,slips,default,0.1429930661751649
Q_0_S_110,forgets,default,0.54573001781346
Q_1_S_110,prior,default,0.00015998357328251425
Q_1_S_110,learns,default,0.21030439559537015
Q_1_S_110,guesses,default,0.7051391113490288
Q_1_S_110,slips,default,0.0002626501630558468
Q_1_S_110,forgets,default,0.843540170035772
Q_2_S_110,prior,default,0.9939057410475205
Q_2_S_110,learns,default,0.7326584284048147
Q_2_S_110,guesses,default,1.0
Q_2_S_110,slips,default,0.0
Q_2_S_110,forgets,default,0.3516926486604295
Q_3_S_110,prior,default,0.8945633158049247
Q_3_S_110,learns,default,0.06667091958491429
Q_3_S_110,guesses,default,1.0
Q_3_S_110,slips,default,0.0
Q_3_S_110,forgets,default,0.11942679644793797
Q_4_S_110,prior,default,0.20638070804047162
Q_4_S_110,learns,default,0.08343516584457965
Q_4_S_110,guesses,default,0.0
Q_4_S_110,slips,default,1.0
Q_4_S_110,forgets,default,0.8615684382899385
Q_5_S_110,prior,default,0.9749914828156064
Q_5_S_110,learns,default,0.8490909877100414
Q_5_S_110,guesses,default,1.0
Q_5_S_110,slips,default,0.0
Q_5_S_110,forgets,default,0.022908182648256385
Q_6_S_110,prior,default,0.016841598767771818
Q_6_S_110,learns,default,0.2714489608410865
Q_6_S_110,guesses,default,0.2067868034946575
Q_6_S_110,slips,default,0.1136466364162773
Q_6_S_110,forgets,default,0.7457181505499942
Q_7_S_110,prior,default,0.07209876187630285
Q_7_S_110,learns,default,0.0013648804281894409
Q_7_S_110,guesses,default,0.0
Q_7_S_110,slips,default,1.0
Q_7_S_110,forgets,default,0.9179249807981592
Q_0_S_111,prior,default,0.025969908380485417
Q_0_S_111,learns,default,0.022970115891344293
Q_0_S_111,guesses,default,0.0
Q_0_S_111,slips,default,1.0
Q_0_S_111,forgets,default,0.8802451559990003
Q_1_S_111,prior,default,0.9396712645816131
Q_1_S_111,learns,default,0.8130861845071047
Q_1_S_111,guesses,default,1.0
Q_1_S_111,slips,default,0.0
Q_1_S_111,forgets,default,0.013848196752080415
Q_2_S_111,prior,default,0.5353890044306954
Q_2_S_111,learns,default,0.4503228358489421
Q_2_S_111,guesses,default,0.030918448512689767
Q_2_S_111,slips,default,0.5240121920732328
Q_2_S_111,forgets,default,0.5025818625685151
Q_3_S_111,prior,default,0.9832338359749879
Q_3_S_111,learns,default,0.6028462018849675
Q_3_S_111,guesses,default,0.4943251508178688
Q_3_S_111,slips,default,0.05537843117640958
Q_3_S_111,forgets,default,0.7026439390072186
Q_4_S_111,prior,default,0.9998876646523657
Q_4_S_111,learns,default,0.9868625851228281
Q_4_S_111,guesses,default,0.012971479549801036
Q_4_S_111,slips,default,1.498251473629593e-06
Q_4_S_111,forgets,default,0.9999971054482705
Q_5_S_111,prior,default,0.890395973765692
Q_5_S_111,learns,default,0.851415941044863
Q_5_S_111,guesses,default,1.0
